time,S_mixed_0Ua,S_mixed_0.125Ua,S_mixed_0.25Ua,S_mixed_0.375Ua,S_mixed_0.5Ua,S_mixed_0.625Ua,S_mixed_0.75Ua,S_mixed_0.875Ua,S_mixed_1.0Ua
5.88,0.413176216,0.418231155,0.442073914,0.455793145,0.514661931,0.529584646,0.581495499,0.678556661,0.812458877
5.94,0.413081897,0.418395395,0.442731324,0.457508199,0.516343671,0.530462779,0.583295118,0.681951784,0.815359548
6,0.416162583,0.414068342,0.439414183,0.458870233,0.517244073,0.530074203,0.583640201,0.683187414,0.817891396
6.06,0.411799107,0.421011358,0.443539546,0.459303585,0.518113873,0.531335298,0.586612282,0.687863335,0.823330695
6.12,0.413988179,0.422859965,0.444354118,0.460610267,0.518325609,0.532546696,0.588529159,0.68940438,0.82583749
6.18,0.416649998,0.423482365,0.444571421,0.461580772,0.520100159,0.532763435,0.588998199,0.691252377,0.830477163
6.24,0.415057271,0.424933103,0.44239543,0.459045302,0.520609541,0.534854199,0.589597204,0.692499366,0.832390714
6.3,0.418088874,0.423667099,0.439470595,0.463705379,0.521159296,0.533834325,0.587635815,0.693846121,0.835683129
6.36,0.420662628,0.422635285,0.439727006,0.464036853,0.521858894,0.536406638,0.592325712,0.696654664,0.838079396
6.42,0.417656263,0.424606471,0.446447522,0.465138378,0.522210816,0.537722773,0.59308254,0.699360303,0.841781436
6.48,0.421265934,0.419670832,0.447767391,0.465742534,0.52379771,0.538439174,0.594033286,0.701506583,0.844966296
6.54,0.418983769,0.425493542,0.447684192,0.463647159,0.524159326,0.53894361,0.594605125,0.70474698,0.849010215
6.6,0.41702934,0.427151609,0.448470655,0.467562587,0.525051599,0.539540121,0.594210284,0.706856995,0.850911029
6.66,0.422989394,0.427622683,0.44793839,0.467537566,0.525566429,0.540732643,0.598109512,0.709415218,0.853888016
6.72,0.421642277,0.428556733,0.444563055,0.467975125,0.526171178,0.541390039,0.599310333,0.711129885,0.856401369
6.78,0.422097367,0.427344842,0.44777964,0.469143924,0.526278332,0.541469043,0.600647884,0.711489916,0.857773754
6.84,0.42360969,0.426815468,0.447910168,0.469267978,0.527208087,0.542937931,0.601642576,0.714407485,0.860260139
6.9,0.422740645,0.430125668,0.450469944,0.47024296,0.528054976,0.543969914,0.602240849,0.716096413,0.861412927
6.96,0.422756977,0.430415069,0.451845861,0.470559956,0.529382898,0.542962941,0.603739957,0.717867863,0.863294943
7.02,0.425314564,0.430849678,0.450097161,0.468714005,0.529947763,0.544128695,0.605363483,0.720961594,0.863779042
7.08,0.423825203,0.432363903,0.453216862,0.471542777,0.531082547,0.547023287,0.605281419,0.722734829,0.867018449
7.14,0.426804212,0.432805476,0.452961788,0.471960904,0.531890146,0.54853917,0.607785894,0.724064786,0.868631267
7.2,0.426818299,0.433226361,0.452860798,0.471064455,0.532879863,0.550528215,0.60802152,0.724930165,0.872543366
7.26,0.422771322,0.43321222,0.453456754,0.472915455,0.533855747,0.54962715,0.606831436,0.724990824,0.874177713
7.32,0.426528245,0.430890962,0.454469238,0.473412719,0.53413055,0.549807797,0.610001788,0.728008644,0.87592279
7.38,0.425922606,0.434486698,0.454050092,0.473367668,0.535015857,0.552693904,0.611142112,0.729136061,0.878773987
7.44,0.425063522,0.435645465,0.455030064,0.474799789,0.536438166,0.553559917,0.612365829,0.733039313,0.878772468
7.5,0.42924914,0.434960604,0.452748415,0.474552404,0.531398506,0.554084243,0.613238274,0.734855169,0.879252867
7.56,0.425917982,0.436461885,0.453680255,0.474919803,0.536719856,0.554257964,0.611537444,0.738984578,0.882413681
7.62,0.427446301,0.434910629,0.456028307,0.476722713,0.536791006,0.555602074,0.614775189,0.740288893,0.882667784
7.68,0.430224196,0.431712907,0.45654286,0.477363673,0.537588631,0.557069122,0.6159333,0.741323341,0.885086282
7.74,0.430442201,0.435908903,0.456663707,0.477634681,0.538790153,0.557063022,0.616477326,0.742074127,0.886461046
7.8,0.429441014,0.435340931,0.456797475,0.478298974,0.537012019,0.557298724,0.617929768,0.742689963,0.887631966
7.86,0.430716009,0.438971109,0.457301573,0.479153184,0.538722456,0.558833037,0.618956411,0.745171765,0.889654531
7.92,0.424925525,0.439612801,0.458229503,0.479346928,0.540144146,0.559493982,0.621148884,0.747127936,0.890295345
7.98,0.428043922,0.439234645,0.457202899,0.479366799,0.541455867,0.55832627,0.621083037,0.749981105,0.891682358
8.04,0.427229323,0.436167196,0.4553797,0.479751867,0.541999658,0.56094995,0.619625919,0.752916997,0.892055969
8.1,0.426873574,0.43879428,0.459061315,0.479274036,0.542181703,0.561526296,0.623750618,0.754837533,0.894164497
8.16,0.432185917,0.434966865,0.458958808,0.478996129,0.542803647,0.563544523,0.625160345,0.756375293,0.895645863
8.22,0.429284174,0.43806178,0.458748225,0.481383204,0.544208852,0.565082841,0.626504941,0.756851438,0.897615937
8.28,0.430936908,0.440952861,0.460319333,0.4819553,0.542940228,0.563888124,0.625559033,0.75860181,0.89817162
8.34,0.434389444,0.438484943,0.46016625,0.482923099,0.544593035,0.566158024,0.627252258,0.761024207,0.899202763
8.4,0.433039644,0.442444541,0.460945175,0.484403446,0.545481539,0.566811224,0.629288676,0.76175202,0.899719125
8.46,0.431603272,0.443257821,0.462140189,0.483887171,0.54463307,0.566645698,0.630587274,0.764200992,0.900974948
8.52,0.433675132,0.437908398,0.461274918,0.483387436,0.54511851,0.567884725,0.631493897,0.765204043,0.901252545
8.58,0.426922274,0.443495384,0.462706893,0.484739089,0.546040049,0.566423602,0.631547348,0.768242761,0.903756186
8.64,0.431992607,0.444398671,0.463040915,0.484358994,0.547274182,0.569350012,0.632680538,0.769814205,0.904240789
8.7,0.432800831,0.443158468,0.461417975,0.48392633,0.548127156,0.570423624,0.633598928,0.770818715,0.904576622
8.76,0.434709968,0.444668823,0.462180213,0.484963385,0.547383383,0.570291196,0.63014877,0.772753635,0.905921832
8.82,0.437743867,0.442948,0.46103643,0.486441981,0.548314609,0.571384813,0.635600673,0.773510844,0.907030868
8.88,0.437867097,0.444118897,0.463014306,0.486754794,0.549291622,0.571941736,0.636453899,0.775394567,0.908924429
8.94,0.43651061,0.446032712,0.465267255,0.487233343,0.549853848,0.572816662,0.6375673,0.776274257,0.909432829
9,0.438731668,0.442328837,0.464641392,0.48618693,0.550302141,0.573582975,0.638959944,0.774873475,0.90943741
