time,S_mixed_0Hz,S_mixed_1Hz_Pi,S_mixed_2Hz_Pi,S_mixed_4Hz_Pi,S_mixed_8Hz_Pi,S_mixed_12Hz_Pi,S_mixed_16Hz_Pi,S_mixed_20Hz_Pi,S_mixed_30Hz_Pi,S_mixed_1Hz_0,S_mixed_2Hz_0,S_mixed_4Hz_0,S_mixed_8Hz_0,S_mixed_12Hz_0,S_mixed_16Hz_0,S_mixed_20Hz_0,S_mixed_30Hz_0
2.04,0.306794111,0.505307413,0.562563273,0.579898297,0.520761269,0.514249418,0.457890319,0.400120924,0.331225014,0.372090553,0.516494375,0.404563831,0.461887431,0.574147139,0.37932826,0.338214969,0.325258366
2.1,0.308786367,0.509849677,0.565911904,0.592622245,0.524395934,0.523741801,0.462616692,0.405874191,0.338672618,0.37268668,0.512620427,0.408036811,0.465602053,0.585467263,0.388323663,0.350014226,0.331174994
2.16,0.312951396,0.512265018,0.572252645,0.605051619,0.529756664,0.532194527,0.46813529,0.410617078,0.342130051,0.377407901,0.509947983,0.412133703,0.468220442,0.59895383,0.396523714,0.356419645,0.337338042
2.22,0.316161442,0.513738282,0.579480841,0.612010304,0.539421938,0.542305852,0.479636795,0.423227913,0.34964824,0.381664835,0.519870683,0.419110717,0.483868335,0.606954488,0.402509268,0.367204121,0.333521184
2.28,0.318500021,0.52034769,0.583993862,0.62161318,0.547545657,0.551190334,0.485973361,0.428047858,0.353824225,0.38596607,0.527318292,0.429278318,0.482369663,0.613665869,0.406835847,0.372214142,0.340855161
2.34,0.324353566,0.531654522,0.598291376,0.630146921,0.551617054,0.55854414,0.491774943,0.432427998,0.35242552,0.395627633,0.554375475,0.443956773,0.488286635,0.62475188,0.408886525,0.36883478,0.346513254
2.4,0.323938218,0.535665183,0.605819288,0.634997426,0.558847777,0.565364835,0.494728893,0.44083503,0.360300981,0.407255959,0.559514771,0.442390093,0.49921223,0.632104184,0.412015007,0.373987003,0.347810848
2.46,0.328766134,0.54293782,0.611212956,0.642468576,0.564191523,0.570586524,0.494156224,0.445037903,0.364191924,0.416873165,0.562680615,0.452086695,0.50552572,0.638676285,0.418829794,0.381523957,0.3566478
2.52,0.334200731,0.546723361,0.61775996,0.650487907,0.571492003,0.580213651,0.502927401,0.450130637,0.365572981,0.424781258,0.565902894,0.46757561,0.500178614,0.646790296,0.426558193,0.395954227,0.358846139
2.58,0.334004164,0.552267421,0.624567869,0.655251502,0.576424093,0.588098647,0.506610007,0.45601951,0.374223391,0.441576488,0.566177562,0.474492352,0.49743022,0.652919204,0.437888869,0.405458225,0.363472424
2.64,0.337552464,0.554625116,0.629685887,0.662387172,0.579563236,0.595725182,0.517919132,0.457975212,0.378009515,0.449686175,0.55969535,0.474650489,0.509965249,0.662116214,0.445377705,0.408902465,0.368715519
2.7,0.34098008,0.555075476,0.632894101,0.668972574,0.584269066,0.602767944,0.524119103,0.460944875,0.380348985,0.461680583,0.566402445,0.477356398,0.521876113,0.662649439,0.449253621,0.41075823,0.371428207
2.76,0.339742022,0.561054658,0.632859476,0.676675874,0.591150711,0.608437753,0.528729022,0.466941642,0.385741892,0.467547327,0.572297675,0.484497749,0.525968218,0.671595835,0.450886492,0.411978912,0.368348623
2.82,0.345577377,0.56886576,0.644702628,0.684242275,0.597797468,0.615046721,0.531985778,0.470512079,0.386428367,0.47053325,0.589971123,0.500064277,0.529383116,0.682364986,0.464150097,0.417427287,0.378102145
2.88,0.346907836,0.572448693,0.649135657,0.689754497,0.605088021,0.622061498,0.533870874,0.474531201,0.388421693,0.473737972,0.603956027,0.504124352,0.531157717,0.686948956,0.466237829,0.424819761,0.375737289
2.94,0.348099698,0.578551299,0.654764701,0.69546379,0.609486185,0.628604722,0.536915066,0.477482187,0.394369429,0.473024058,0.607531276,0.510378783,0.535402055,0.693419219,0.46599544,0.424991708,0.382967635
3,0.353520827,0.583866814,0.658806792,0.69981547,0.618114401,0.632431311,0.545394257,0.481491717,0.396755219,0.476377001,0.610097257,0.523960647,0.540477626,0.702331179,0.476296278,0.433922202,0.389908378
