phase_combined,theta_t_combined,theta_t_combined_fit,phase_natural,theta_t_Natural,theta_t_Natural_fit,phase_induced,theta_t_induced,theta_t_induced_fit
-0.471238898,-30.084515,-21.19272983,-0.327624131,-10.344464,-9.727254,1.727875959,1.452733,1.344404
-0.468097305,-29.978285,-21.33382473,-0.323062539,-10.553252,-9.743291,1.753008701,1.850709,1.520198
-0.464955713,-29.928004,-21.47478171,-0.318500946,-10.803189,-9.759126,1.778141442,2.151678,1.695032
-0.46181412,-30.097596,-21.61558804,-0.313942495,-11.011213,-9.774757,1.803274183,2.31615,1.868795
-0.458672527,-30.314031,-21.75623099,-0.309380903,-11.237721,-9.790185,1.828406924,2.399473,2.041379
-0.455530935,-30.649599,-21.89669779,-0.30481931,-11.429126,-9.805409,1.853539666,2.285729,2.212673
-0.452389342,-31.018063,-22.03697571,-0.300257718,-11.521091,-9.820429,1.878672407,2.279926,2.38257
-0.449247749,-31.413249,-22.177052,-0.295696125,-11.484927,-9.835245,1.903805148,2.312171,2.550963
-0.446106157,-31.85775,-22.31691391,-0.291137674,-11.330911,-9.849856,1.928937889,2.246898,2.717745
-0.442964564,-32.383001,-22.45654869,-0.286576082,-11.260468,-9.864263,1.954070631,2.118968,2.88281
-0.439822972,-32.93733,-22.5959436,-0.282014489,-10.96049,-9.878464,1.979203372,1.993599,3.046056
-0.436681379,-33.383414,-22.7350859,-0.277452897,-10.709258,-9.892459,2.004336113,1.846598,3.207378
-0.433539786,-33.57748,-22.87396285,-0.272891304,-10.594348,-9.906249,2.029468854,1.813899,3.366674
-0.430398194,-33.4422,-23.01256174,-0.268332853,-10.525435,-9.919832,2.054601595,1.40746,3.523845
-0.427256601,-33.075183,-23.15086983,-0.263771261,-10.567785,-9.933209,2.079734337,1.637979,3.678791
-0.424115008,-32.5409,-23.28887442,-0.259209668,-10.665004,-9.94638,2.104867078,1.933731,3.831413
-0.420973416,-32.045689,-23.4265628,-0.254648076,-10.762391,-9.959343,2.129999819,2.310351,3.981616
-0.417831823,-31.639539,-23.56392228,-0.250086483,-10.914545,-9.972099,2.15513256,2.568811,4.129305
-0.41469023,-31.272931,-23.70094019,-0.245528032,-11.115933,-9.984648,2.180265302,2.790489,4.274387
-0.411548638,-31.017928,-23.83760385,-0.24096644,-11.284365,-9.996989,2.205398043,3.026092,4.416769
-0.408407045,-30.849362,-23.97390062,-0.236404847,-11.302382,-10.009122,2.230530784,3.276945,4.556362
-0.405265452,-30.774837,-24.10981785,-0.231843255,-10.86675,-10.021047,2.255663525,6.995053,4.693078
-0.40212386,-30.987581,-24.24534293,-0.227281662,-10.743713,-10.032763,2.280796267,7.171386,4.826831
-0.398982267,-31.356089,-24.38046325,-0.222723211,-10.61744,-10.04427,2.305929008,7.443339,4.957536
-0.395840674,-31.889602,-24.51516623,-0.218161619,-10.492198,-10.055569,2.331061749,7.710716,5.08511
-0.392699082,-32.416107,-24.6494393,-0.213600026,-10.153535,-10.066658,2.35619449,7.91009,5.209474
-0.389557489,-32.871706,-24.78326992,-0.209038434,-10.436537,-10.077537,2.381327231,8.173553,5.330547
-0.386415896,-33.139163,-24.91664558,-0.204476841,-10.455481,-10.088208,2.406459973,8.433638,5.448255
-0.383274304,-33.325169,-25.04955376,-0.19991839,-10.493534,-10.098668,2.431592714,8.630738,5.562523
-0.380132711,-33.256153,-25.181982,-0.195356798,-10.490174,-10.108918,2.456725455,9.086829,5.673277
-0.376991118,-33.005163,-25.31391786,-0.190795205,-10.538701,-10.118957,2.481858196,9.100118,5.78045
-0.373849526,-32.623149,-25.4453489,-0.186233613,-10.588287,-10.128786,2.506990938,9.002076,5.883972
-0.370707933,-32.095026,-25.57626273,-0.18167202,-10.545844,-10.138405,2.532123679,8.873245,5.983779
-0.36756634,-31.596396,-25.70664699,-0.177113569,-10.513098,-10.147812,2.55725642,8.645493,6.079808
-0.364424748,-31.059747,-25.83648935,-0.172551976,-10.504466,-10.157008,2.582389161,8.504404,6.171997
-0.361283155,-30.52918,-25.96577749,-0.167990384,-10.582598,-10.165993,2.607521902,8.088822,6.260289
