time,theta_t
0.751,-0.199288
0.752,-0.571064
0.753,-0.858095
0.754,-0.859272
0.755,-0.716766
0.756,-0.559932
0.757,-0.467897
0.758,-0.402977
0.759,-0.326722
0.76,-0.15678
0.761,-0.026665
0.762,0.141676
0.763,0.262207
0.764,0.148885
0.765,0.04768
0.766,-0.174184
0.767,-0.480972
0.768,-0.735557
0.769,-1.171913
0.77,-1.549594
0.771,-1.924393
0.772,-2.36126
0.773,-2.75323
0.774,-2.9793
0.775,-3.174956
0.776,-2.934197
0.777,-2.710849
0.778,-2.345578
0.779,-1.959329
0.78,-1.586178
0.781,-1.24938
0.782,-0.956931
0.783,-0.783645
0.784,-0.720569
0.785,-0.755848
0.786,-0.832175
0.787,-0.831438
0.788,-0.808391
0.789,-0.805606
0.79,-0.862007
0.791,-0.95635
0.792,-1.114903
0.793,-1.094122
0.794,-1.100836
0.795,-1.076535
0.796,-1.044903
0.797,-1.05166
0.798,-1.083506
0.799,-1.00203
0.8,-1.099015
0.801,-1.009039
0.802,-0.884589
0.803,-0.80522
0.804,-0.883334
0.805,-1.136279
0.806,-1.446454
0.807,-1.732821
0.808,-1.905231
0.809,-1.889399
0.81,-1.856868
0.811,-1.81123
0.812,-1.806797
0.813,-1.779725
0.814,-1.636323
0.815,-1.301316
0.816,-0.96004
0.817,-0.562238
0.818,-0.258214
0.819,0.08546
0.82,0.507805
0.821,0.929233
0.822,1.379212
0.823,1.800474
0.824,2.228694
0.825,2.643819
0.826,2.949239
0.827,3.170137
0.828,3.24739
0.829,3.153601
0.83,2.818762
0.831,2.311111
0.832,1.646638
0.833,1.078949
0.834,0.605936
0.835,0.258821
0.836,-0.039151
0.837,-0.486945
0.838,-0.711191
0.839,-0.8802
0.84,-0.904903
0.841,-0.844976
0.842,-0.570206
0.843,-0.302905
0.844,-0.06759
0.845,0.130503
0.846,0.360381
0.847,0.53486
0.848,0.646187
0.849,0.823899
0.85,0.998571
0.851,1.184613
0.852,1.247919
0.853,1.333108
0.854,1.265364
0.855,1.082104
0.856,0.848764
0.857,0.660368
0.858,0.433822
0.859,0.200776
0.86,-0.11875
0.861,-0.395459
0.862,-0.766202
0.863,-1.057668
0.864,-1.28595
0.865,-1.489966
0.866,-1.779585
0.867,-2.012063
0.868,-2.124682
0.869,-1.879881
0.87,-1.55168
0.871,-1.022966
0.872,-0.553483
0.873,-0.221298
0.874,-0.099848
0.875,0.039243
0.876,0.19202
0.877,0.057159
0.878,-0.133798
0.879,-0.379757
0.88,-0.77247
0.881,-1.130699
0.882,-1.491358
0.883,-1.684464
0.884,-1.645325
0.885,-1.478344
0.886,-1.164021
0.887,-0.797615
0.888,-0.33124
0.889,-0.095524
0.89,0.128585
0.891,0.310661
0.892,0.457439
0.893,0.559898
0.894,0.56359
0.895,0.369165
0.896,0.502407
0.897,0.475248
0.898,0.479893
0.899,0.44194
0.9,0.481722
0.901,0.497754
0.902,0.509754
0.903,0.511882
0.904,0.584156
0.905,0.716707
0.906,0.855725
0.907,1.013387
0.908,1.174346
0.909,1.274618
0.91,1.300826
0.911,1.28912
0.912,1.23461
0.913,1.172111
0.914,1.05141
0.915,0.863968
0.916,0.6615
0.917,0.43923
0.918,0.25767
0.919,0.16111
0.92,0.129765
0.921,0.167188
0.922,0.204113
0.923,0.315058
0.924,0.446787
0.925,0.677679
0.926,0.998345
0.927,1.273718
0.928,1.461854
0.929,1.578908
0.93,1.587321
0.931,1.533434
0.932,1.449349
0.933,1.168112
0.934,0.88197
0.935,0.532427
0.936,0.190823
0.937,-0.077956
0.938,-0.150189
0.939,-0.063248
0.94,0.241399
0.941,0.600263
0.942,1.039666
0.943,1.551742
0.944,1.89917
0.945,2.218278
0.946,2.10738
0.947,1.857285
0.948,1.548185
0.949,1.184284
0.95,0.847038
0.951,0.648721
0.952,0.614068
0.953,0.744617
0.954,0.768143
0.955,0.908241
0.956,1.043076
0.957,1.064055
0.958,0.938848
0.959,0.916414
0.96,0.885129
0.961,0.826274
0.962,0.795883
0.963,0.691686
0.964,0.614978
0.965,0.610219
0.966,0.562465
0.967,0.55971
0.968,0.612193
0.969,0.602376
0.97,0.612192
0.971,0.380341
0.972,0.094529
0.973,-0.200082
0.974,-0.468942
0.975,-0.668222
0.976,-0.820594
0.977,-0.971783
0.978,-1.024529
0.979,-1.117551
0.98,-1.192807
0.981,-1.17989
0.982,-1.06111
0.983,-0.8915
0.984,-0.740875
0.985,-0.70298
0.986,-0.808044
0.987,-1.104972
0.988,-1.221263
0.989,-1.256674
0.99,-1.182151
0.991,-0.837889
0.992,-0.790667
0.993,-0.696486
0.994,-0.58822
0.995,-0.336652
0.996,-0.009
0.997,0.330027
0.998,0.598572
0.999,0.782759
1,0.829067
1.001,0.828809
1.002,0.651418
1.003,0.488063
1.004,0.246331
1.005,-0.065278
1.006,-0.430932
1.007,-0.73955
1.008,-0.885393
1.009,-0.940205
1.01,-1.019027
1.011,-1.029001
1.012,-0.912514
1.013,-0.793083
1.014,-0.606326
1.015,-0.390679
1.016,-0.106022
1.017,0.153557
1.018,0.347083
1.019,0.586558
1.02,0.741628
1.021,0.8925
1.022,0.737066
1.023,0.787736
1.024,0.8689
1.025,1.064415
1.026,1.263115
1.027,1.573858
1.028,1.842912
1.029,2.036613
1.03,2.316397
1.031,2.564334
1.032,2.77018
1.033,2.732514
1.034,2.633606
1.035,2.401315
1.036,2.086142
1.037,1.669939
1.038,1.331881
1.039,1.228415
1.04,0.944307
1.041,0.715618
1.042,0.571263
1.043,0.495156
1.044,0.443934
1.045,0.350911
1.046,0.193978
1.047,-0.006842
1.048,-0.12238
1.049,-0.259502
1.05,-0.355485
1.051,-0.452259
1.052,-0.500751
1.053,-0.331091
1.054,-0.348539
1.055,0.093464
1.056,0.831241
1.057,1.48231
1.058,1.955443
1.059,2.264513
1.06,2.237498
1.061,2.242081
1.062,2.1197
1.063,1.838184
1.064,1.616022
1.065,1.159124
1.066,0.678753
1.067,0.25869
1.068,-0.173793
1.069,-0.575033
1.07,-0.87208
1.071,-1.081945
1.072,-1.355932
1.073,-1.642816
1.074,-1.901014
1.075,-2.122715
1.076,-2.211161
1.077,-2.252768
1.078,-2.191985
1.079,-2.042723
1.08,-1.865652
1.081,-1.561795
1.082,-1.098741
1.083,-0.514814
1.084,0.16094
1.085,0.840012
1.086,1.351212
1.087,1.665923
1.088,1.654064
1.089,1.42568
1.09,1.061073
1.091,0.631777
1.092,0.163094
1.093,-0.339103
1.094,-0.77801
1.095,-1.176448
1.096,-1.405286
1.097,-1.347522
1.098,-1.060841
1.099,-0.603361
1.1,-0.108595
1.101,0.141152
1.102,0.519047
1.103,0.759722
1.104,0.921497
1.105,1.010001
1.106,1.231839
1.107,1.051914
1.108,0.874081
1.109,0.615398
1.11,0.333035
1.111,0.082743
1.112,-0.120937
1.113,-0.074622
1.114,-0.104761
1.115,-0.119484
1.116,-0.135493
1.117,-0.233109
1.118,-0.255935
1.119,-0.065452
1.12,0.138214
1.121,0.273609
1.122,0.269325
1.123,0.041805
1.124,-0.340763
1.125,-0.743668
1.126,-1.062245
1.127,-1.159633
1.128,-1.443499
1.129,-1.603843
1.13,-1.719237
1.131,-1.697775
1.132,-1.547937
1.133,-1.322718
1.134,-1.013151
1.135,-0.621007
1.136,-0.179613
1.137,0.375527
1.138,0.921073
1.139,1.383636
1.14,1.76626
1.141,1.833218
1.142,2.298865
1.143,2.421927
1.144,2.401037
1.145,2.223489
1.146,1.877118
1.147,1.482175
1.148,1.135808
1.149,0.85113
1.15,0.58987
1.151,0.445503
1.152,0.387665
1.153,0.42638
1.154,0.539223
1.155,0.691487
1.156,0.820068
1.157,0.986729
1.158,1.08523
1.159,1.216201
1.16,1.224738
1.161,1.246377
1.162,1.108879
1.163,1.018681
1.164,0.863576
1.165,0.714883
1.166,0.541726
1.167,0.413377
1.168,0.30493
1.169,0.252545
1.17,0.180146
1.171,0.212452
1.172,0.289603
1.173,0.318566
1.174,0.354865
1.175,0.352803
1.176,0.401058
1.177,0.411429
1.178,0.380502
1.179,0.061027
1.18,-0.249714
1.181,-0.519168
1.182,-0.610345
1.183,-0.543637
1.184,-0.329002
1.185,-0.132924
1.186,-0.031008
1.187,0.048149
1.188,-0.030408
1.189,-0.083033
1.19,-0.183512
1.191,-0.124458
1.192,0.059503
1.193,0.201876
1.194,0.343746
1.195,0.549355
1.196,0.686681
1.197,0.846123
1.198,0.782566
1.199,0.99818
1.2,0.965512
1.201,0.726922
1.202,0.418103
1.203,0.108271
1.204,-0.177981
1.205,-0.494817
1.206,-0.742161
1.207,-0.88842
1.208,-0.945049
1.209,-0.921413
1.21,-0.847807
1.211,-0.822551
1.212,-0.906757
1.213,-1.161283
1.214,-1.406191
1.215,-1.475046
1.216,-1.348498
1.217,-1.190564
1.218,-1.110981
1.219,-1.069042
1.22,-1.009741
1.221,-0.864966
1.222,-0.688391
1.223,-0.409155
1.224,-0.129714
1.225,0.091605
