time,theta_t,theta_t_fit
0.271,7.27205,4.508208408
0.272,6.958899,4.480047468
0.273,6.543528,4.4517439
0.274,5.996748,4.423298603
0.275,5.345042,4.394712483
0.276,4.848364,4.365986452
0.277,4.556007,4.337121422
0.278,4.414863,4.308118314
0.279,4.626537,4.27897805
0.28,4.785929,4.249701558
0.281,5.225164,4.22028977
0.282,5.413691,4.190743623
0.283,5.7955,4.161064057
0.284,6.289606,4.131252018
0.285,6.800126,4.101308453
0.286,7.311373,4.071234317
0.287,7.814128,4.041030568
0.288,8.280213,4.010698165
0.289,8.60596,3.980238077
0.29,8.866883,3.949651271
0.291,8.901032,3.918938722
0.292,8.774295,3.888101407
0.293,8.55352,3.857140309
0.294,8.228251,3.826056413
0.295,7.770845,3.794850708
0.296,7.293215,3.763524189
0.297,6.741536,3.732077852
0.298,6.11347,3.700512698
0.299,5.512086,3.668829734
0.3,4.888669,3.637029966
0.301,4.415527,3.605114408
0.302,4.224571,3.573084075
0.303,4.116478,3.540939988
0.304,4.106497,3.50868317
0.305,4.124935,3.476314647
0.306,4.07624,3.443835451
0.307,4.025166,3.411246615
0.308,3.97132,3.378549176
0.309,3.905416,3.345744176
0.31,3.942003,3.31283266
0.311,4.023525,3.279815674
0.312,4.172472,3.24669427
0.313,4.301413,3.213469503
0.314,3.583202,3.18014243
0.315,3.80313,3.146714112
0.316,4.11018,3.113185614
0.317,4.525352,3.079558003
0.318,4.791704,3.045832349
0.319,4.966665,3.012009727
0.32,5.074162,2.978091213
0.321,4.989437,2.944077886
0.322,4.614222,2.909970831
0.323,4.082987,2.875771132
0.324,3.360533,2.841479878
0.325,2.669491,2.807098162
0.326,1.978533,2.772627077
0.327,1.415305,2.738067722
0.328,0.975142,2.703421195
0.329,0.853179,2.668688602
0.33,0.982744,2.633871046
0.331,1.305439,2.598969637
0.332,1.850439,2.563985486
0.333,2.540798,2.528919707
0.334,3.25933,2.493773416
0.335,3.929659,2.458547731
0.336,4.487856,2.423243775
0.337,4.911577,2.387862671
0.338,5.246412,2.352405546
0.339,5.447919,2.316873528
0.34,5.53653,2.28126775
0.341,5.48379,2.245589343
0.342,5.40957,2.209839445
0.343,5.096085,2.174019193
0.344,4.726004,2.138129728
0.345,4.435696,2.102172192
0.346,4.244566,2.066147731
0.347,4.109168,2.03005749
0.348,3.929713,1.99390262
0.349,3.662757,1.95768427
0.35,3.294305,1.921403595
0.351,2.934108,1.885061749
0.352,2.663217,1.848659889
0.353,2.449614,1.812199174
0.354,2.353874,1.775680765
0.355,2.293433,1.739105824
0.356,2.540472,1.702475516
0.357,2.481326,1.665791008
0.358,2.561125,1.629053466
0.359,2.636604,1.592264061
0.36,2.592243,1.555423964
0.361,2.254024,1.518534347
0.362,2.151766,1.481596386
0.363,1.994589,1.444611256
0.364,1.731251,1.407580134
0.365,1.415835,1.3705042
0.366,1.497633,1.333384634
0.367,1.318784,1.296222617
0.368,1.298108,1.259019333
0.369,1.461624,1.221775967
0.37,1.823213,1.184493703
0.371,2.318397,1.147173729
0.372,2.628331,1.109817233
0.373,3.42028,1.072425404
0.374,4.291526,1.034999433
0.375,5.077101,0.997540512
0.376,5.679374,0.960049831
0.377,6.366913,0.922528587
0.378,6.458101,0.884977972
0.379,5.927258,0.847399183
0.38,5.418915,0.809793415
0.381,4.192717,0.772161866
0.382,3.566241,0.734505735
0.383,2.810656,0.696826219
0.384,1.959701,0.659124519
0.385,1.283384,0.621401834
0.386,1.249719,0.583659366
0.387,1.038494,0.545898317
0.388,1.454,0.508119888
0.389,1.750468,0.470325282
0.39,2.33687,0.432515703
0.391,2.612547,0.394692353
0.392,2.667654,0.356856439
0.393,2.64728,0.319009163
0.394,2.544536,0.281151731
0.395,2.371139,0.243285348
0.396,2.184786,0.20541122
0.397,1.987553,0.167530552
0.398,1.951664,0.129644551
0.399,1.548011,0.091754422
0.4,1.376971,0.053861372
0.401,1.092441,0.015966607
0.402,0.714793,-0.021928666
0.403,0.382768,-0.059823241
0.404,0.371995,-0.097715911
0.405,0.079213,-0.135605471
0.406,-0.444576,-0.173490713
0.407,-1.245069,-0.211370432
0.408,-2.09283,-0.249243421
0.409,-2.819644,-0.287108476
0.41,-3.411538,-0.32496439
0.411,-3.802587,-0.362809958
0.412,-3.770105,-0.400643976
0.413,-4.004745,-0.438465238
0.414,-4.614362,-0.476272541
0.415,-4.62793,-0.514064682
0.416,-4.440105,-0.551840456
0.417,-4.121306,-0.589598662
0.418,-3.823428,-0.627338097
0.419,-3.794421,-0.66505756
0.42,-3.848218,-0.702755849
0.421,-3.841741,-0.740431765
0.422,-3.853963,-0.778084109
0.423,-3.801937,-0.815711681
0.424,-3.748915,-0.853313283
0.425,-3.848089,-0.890887719
0.426,-3.498704,-0.928433792
0.427,-3.046821,-0.965950308
0.428,-2.613607,-1.00343607
0.429,-1.876938,-1.040889887
0.43,-1.418916,-1.078310565
0.431,-1.107648,-1.115696914
0.432,-0.737724,-1.153047743
0.433,-0.43256,-1.190361862
0.434,-0.341903,-1.227638085
0.435,-0.427349,-1.264875224
0.436,-0.662659,-1.302072094
0.437,-0.926896,-1.33922751
0.438,-1.129455,-1.37634029
0.439,-1.276284,-1.413409252
0.44,-1.426313,-1.450433216
0.441,-1.545405,-1.487411003
0.442,-1.576402,-1.524341436
0.443,-1.53627,-1.56122334
0.444,-1.467309,-1.598055539
0.445,-1.372269,-1.634836862
0.446,-1.444639,-1.671566137
0.447,-1.567662,-1.708242196
0.448,-1.829214,-1.74486387
0.449,-2.029843,-1.781429994
0.45,-2.217386,-1.817939403
0.451,-2.411671,-1.854390935
0.452,-2.628475,-1.89078343
0.453,-2.849437,-1.927115729
0.454,-3.017575,-1.963386675
0.455,-3.347244,-1.999595113
0.456,-3.575664,-2.035739892
0.457,-3.835364,-2.07181986
0.458,-4.135179,-2.107833868
0.459,-4.372497,-2.14378077
0.46,-4.467658,-2.179659421
0.461,-4.562306,-2.21546868
0.462,-4.586433,-2.251207405
0.463,-4.502298,-2.28687446
0.464,-4.298994,-2.322468709
0.465,-4.101457,-2.357989019
0.466,-3.92644,-2.393434258
0.467,-3.686719,-2.428803299
0.468,-3.489155,-2.464095015
0.469,-3.207823,-2.499308283
0.47,-2.811177,-2.534441982
0.471,-2.515209,-2.569494993
0.472,-2.396443,-2.604466199
0.473,-2.528281,-2.639354489
0.474,-2.833379,-2.674158751
0.475,-2.956352,-2.708877877
0.476,-3.086432,-2.743510761
0.477,-3.180341,-2.778056302
0.478,-3.356621,-2.812513399
0.479,-3.543054,-2.846880956
0.48,-3.954163,-2.881157877
0.481,-4.454048,-2.915343073
0.482,-4.845261,-2.949435454
0.483,-5.047135,-2.983433935
0.484,-5.186652,-3.017337434
0.485,-5.362642,-3.051144872
0.486,-5.628275,-3.084855171
0.487,-5.785079,-3.11846726
0.488,-5.683066,-3.151980067
0.489,-5.34937,-3.185392526
0.49,-4.938846,-3.218703574
0.491,-4.49411,-3.251912149
0.492,-4.113598,-3.285017194
0.493,-3.799587,-3.318017656
0.494,-3.471709,-3.350912484
0.495,-3.120379,-3.38370063
0.496,-2.762318,-3.416381051
0.497,-2.200662,-3.448952706
0.498,-2.326993,-3.481414559
0.499,-2.603154,-3.513765575
0.5,-2.830995,-3.546004726
0.501,-2.996684,-3.578130983
0.502,-2.983626,-3.610143326
0.503,-2.818613,-3.642040734
0.504,-2.704253,-3.673822192
0.505,-2.775576,-3.705486688
0.506,-3.035804,-3.737033215
0.507,-3.477511,-3.768460767
0.508,-3.896401,-3.799768345
0.509,-3.927097,-3.830954951
0.51,-3.932461,-3.862019593
0.511,-4.044671,-3.892961281
0.512,-3.98148,-3.923779031
0.513,-3.919339,-3.954471862
0.514,-4.155871,-3.985038796
0.515,-4.164581,-4.01547886
0.516,-3.904906,-4.045791085
0.517,-3.582131,-4.075974506
0.518,-3.327183,-4.106028163
0.519,-3.271106,-4.135951097
0.52,-3.35042,-4.165742358
0.521,-3.815215,-4.195400995
0.522,-4.387802,-4.224926066
0.523,-5.088562,-4.254316629
0.524,-5.9286,-4.28357175
0.525,-6.573624,-4.312690497
0.526,-7.107998,-4.341671942
0.527,-7.496312,-4.370515164
0.528,-7.710528,-4.399219244
0.529,-7.719791,-4.427783268
0.53,-7.451242,-4.456206326
0.531,-6.992272,-4.484487515
0.532,-6.473082,-4.512625933
0.533,-6.042651,-4.540620684
0.534,-5.525595,-4.568470878
0.535,-4.884114,-4.596175628
0.536,-4.182241,-4.623734051
0.537,-3.470815,-4.651145271
0.538,-2.545923,-4.678408414
0.539,-2.07293,-4.705522613
0.54,-1.939431,-4.732487005
0.541,-1.99312,-4.75930073
0.542,-2.026288,-4.785962936
0.543,-2.458768,-4.812472774
0.544,-2.577445,-4.838829399
0.545,-2.832578,-4.865031972
0.546,-3.420389,-4.89107966
0.547,-4.181582,-4.916971633
0.548,-4.52232,-4.942707066
0.549,-4.731381,-4.968285141
0.55,-4.810461,-4.993705043
0.551,-4.753347,-5.018965962
0.552,-4.602411,-5.044067095
0.553,-4.421181,-5.069007643
0.554,-4.220632,-5.093786811
0.555,-3.688984,-5.11840381
0.556,-3.448112,-5.142857857
0.557,-3.318075,-5.167148173
0.558,-3.249753,-5.191273985
0.559,-3.136572,-5.215234526
0.56,-3.110149,-5.239029031
0.561,-3.156006,-5.262656743
0.562,-3.325791,-5.286116911
0.563,-3.525491,-5.309408787
0.564,-3.814565,-5.33253163
0.565,-4.02906,-5.355484704
0.566,-4.229495,-5.378267277
0.567,-4.392195,-5.400878626
0.568,-4.529108,-5.423318029
0.569,-4.634557,-5.445584772
0.57,-4.707771,-5.467678147
0.571,-4.646534,-5.48959745
0.572,-4.605528,-5.511341983
0.573,-4.650028,-5.532911054
0.574,-4.702698,-5.554303977
0.575,-4.656527,-5.575520069
0.576,-6.429191,-5.596558657
0.577,-6.277463,-5.617419069
0.578,-6.113643,-5.638100642
0.579,-5.642742,-5.658602718
0.58,-5.424074,-5.678924643
0.581,-5.221866,-5.699065772
0.582,-4.952565,-5.719025461
0.583,-4.754639,-5.738803077
0.584,-4.616536,-5.758397989
0.585,-4.581817,-5.777809574
0.586,-4.685381,-5.797037213
0.587,-4.978392,-5.816080295
0.588,-5.331213,-5.834938213
0.589,-5.707312,-5.853610366
0.59,-6.07658,-5.872096161
0.591,-6.18905,-5.890395009
0.592,-6.166691,-5.908506327
0.593,-6.106442,-5.926429539
0.594,-6.049408,-5.944164074
0.595,-6.023882,-5.961709367
0.596,-6.004417,-5.97906486
0.597,-5.695954,-5.99623
0.598,-5.350485,-6.013204241
0.599,-4.976166,-6.029987043
0.6,-4.712,-6.046577871
0.601,-4.624425,-6.062976196
0.602,-4.715004,-6.079181498
0.603,-4.755946,-6.095193259
0.604,-4.724783,-6.111010971
0.605,-4.521782,-6.126634129
0.606,-4.509977,-6.142062236
0.607,-4.562906,-6.157294802
0.608,-4.48005,-6.17233134
0.609,-4.677983,-6.187171373
0.61,-4.861664,-6.201814428
0.611,-5.011789,-6.216260039
0.612,-5.118463,-6.230507745
0.613,-5.43093,-6.244557094
0.614,-5.475734,-6.258407637
0.615,-5.503474,-6.272058935
0.616,-5.453626,-6.285510552
0.617,-5.34395,-6.29876206
0.618,-5.186328,-6.311813037
0.619,-4.962931,-6.324663069
0.62,-4.734317,-6.337311744
0.621,-4.559683,-6.349758662
0.622,-4.455806,-6.362003426
0.623,-4.141248,-6.374045645
0.624,-4.159264,-6.385884937
0.625,-4.258144,-6.397520924
0.626,-4.421019,-6.408953237
0.627,-4.617955,-6.42018151
0.628,-4.718947,-6.431205388
0.629,-4.99798,-6.442024518
0.63,-4.972496,-6.452638556
0.631,-4.946364,-6.463047165
0.632,-4.845211,-6.473250013
0.633,-4.733147,-6.483246774
0.634,-4.716921,-6.493037132
0.635,-4.62378,-6.502620774
0.636,-4.613016,-6.511997395
0.637,-4.739133,-6.521166697
0.638,-4.837201,-6.530128387
0.639,-4.974054,-6.538882181
0.64,-5.112066,-6.547427799
0.641,-5.243544,-6.55576497
0.642,-5.834858,-6.563893428
0.643,-6.255201,-6.571812915
0.644,-6.678674,-6.579523177
0.645,-6.96825,-6.587023971
0.646,-7.035067,-6.594315057
0.647,-6.624298,-6.601396202
0.648,-6.437122,-6.608267182
0.649,-6.236961,-6.614927777
0.65,-6.393772,-6.621377777
0.651,-6.034249,-6.627616974
0.652,-5.684295,-6.633645171
0.653,-5.32278,-6.639462176
0.654,-4.973551,-6.645067804
0.655,-3.968983,-6.650461875
0.656,-3.884841,-6.655644219
0.657,-3.939842,-6.66061467
0.658,-4.096396,-6.665373071
0.659,-4.616673,-6.669919269
0.66,-4.771233,-6.674253119
0.661,-4.910224,-6.678374485
0.662,-2.791691,-6.682283235
0.663,-3.313993,-6.685979244
0.664,-3.870971,-6.689462394
0.665,-4.554084,-6.692732575
0.666,-5.252772,-6.695789683
0.667,-5.827601,-6.69863362
0.668,-6.200066,-6.701264295
0.669,-6.329381,-6.703681626
0.67,-6.302506,-6.705885535
0.671,-6.096067,-6.707875951
0.672,-5.682313,-6.709652812
0.673,-4.996144,-6.711216061
0.674,-4.128759,-6.712565649
0.675,-3.215028,-6.713701531
0.676,-2.650379,-6.714623672
0.677,-2.252279,-6.715332043
0.678,-2.121642,-6.715826621
0.679,-2.256674,-6.716107391
0.68,-2.5679,-6.716174343
0.681,-2.993781,-6.716027475
0.682,-3.451116,-6.715666792
0.683,-3.728073,-6.715092306
0.684,-4.211412,-6.714304034
0.685,-4.60837,-6.713302002
0.686,-4.687808,-6.712086242
0.687,-4.584481,-6.710656793
0.688,-4.344041,-6.709013699
0.689,-3.938701,-6.707157014
0.69,-3.54741,-6.705086796
0.691,-3.329517,-6.702803111
0.692,-3.312162,-6.700306032
0.693,-3.415238,-6.697595639
0.694,-3.476998,-6.694672018
0.695,-3.472476,-6.691535261
0.696,-3.473406,-6.688185469
0.697,-3.490438,-6.684622749
0.698,-3.645294,-6.680847213
0.699,-3.883765,-6.676858982
0.7,-4.157375,-6.672658183
0.701,-4.326344,-6.66824495
0.702,-4.367771,-6.663619424
0.703,-4.304925,-6.65878175
0.704,-4.231481,-6.653732084
0.705,-4.141989,-6.648470587
0.706,-4.121465,-6.642997425
0.707,-4.21275,-6.637312773
0.708,-3.990461,-6.631416812
0.709,-3.649197,-6.625309729
0.71,-3.228018,-6.61899172
0.711,-2.88756,-6.612462985
0.712,-2.62841,-6.605723733
0.713,-2.486292,-6.598774176
0.714,-2.436469,-6.591614538
0.715,-2.521738,-6.584245046
0.716,-2.528355,-6.576665934
0.717,-2.440441,-6.568877444
0.718,-2.832345,-6.560879823
0.719,-3.295036,-6.552673327
0.72,-3.932579,-6.544258217
0.721,-4.313898,-6.53563476
0.722,-4.676364,-6.526803231
0.723,-4.977088,-6.517763911
0.724,-8.477713,-6.508517088
0.725,-8.747537,-6.499063057
0.726,-9.094102,-6.489402118
0.727,-9.479523,-6.479534579
0.728,-9.817967,-6.469460754
0.729,-9.996032,-6.459180964
0.73,-9.778365,-6.448695536
0.731,-9.902515,-6.438004804
0.732,-9.660989,-6.427109108
0.733,-9.173142,-6.416008795
0.734,-8.718898,-6.404704219
0.735,-8.057458,-6.393195739
0.736,-7.25862,-6.381483722
0.737,-6.565641,-6.36956854
0.738,-6.150473,-6.357450574
0.739,-6.061832,-6.345130209
0.74,-6.123379,-6.332607836
0.741,-6.254072,-6.319883855
0.742,-6.477685,-6.306958671
0.743,-7.188587,-6.293832696
0.744,-7.668625,-6.280506346
0.745,-8.180621,-6.266980047
0.746,-8.631297,-6.25325423
