time,theta_t,theta_t_fit
0.813,17.06813,20.66686356
0.814,17.321768,20.65112694
0.815,17.668545,20.63390648
0.816,18.052487,20.61520926
0.817,18.068492,20.59504249
0.818,18.246057,20.57341353
0.819,18.317301,20.55032984
0.82,18.281143,20.52579901
0.821,18.235519,20.49982876
0.822,18.280735,20.47242693
0.823,18.282507,20.44360148
0.824,18.365717,20.4133605
0.825,18.352614,20.38171219
0.826,18.344218,20.34866489
0.827,18.350943,20.31422703
0.828,18.385329,20.27840718
0.829,18.462721,20.24121403
0.83,18.678718,20.20265637
0.831,18.922428,20.16274312
0.832,19.335221,20.12148332
0.833,19.409875,20.07888612
0.834,19.356829,20.03496076
0.835,19.266262,19.98971663
0.836,19.165648,19.94316321
0.837,19.155855,19.8953101
0.838,19.167635,19.84616701
0.839,19.282959,19.79574375
0.84,19.630554,19.74405025
0.841,19.798281,19.69109654
0.842,20.093801,19.63689275
0.843,20.453356,19.58144914
0.844,20.715233,19.52477606
0.845,21.011264,19.46688395
0.846,21.050269,19.40778337
0.847,21.285208,19.34748498
0.848,21.568315,19.28599953
0.849,21.897875,19.22333789
0.85,22.068622,19.15951102
0.851,22.143423,19.09452995
